,label,code,entity
185,7100-7199 Suunnitelman mukaiset poistot,4819250,KKNR
186,"7170 Suunnitelman mukaiset poistot, erittelemättömät",4562740,KKNR
187,7180 Kertaluonteiset poistot,4565010,KKNR
188,"7190 Pysyvien vastaavien hyödykkeiden luovutusvoitot ja -tappiot (epäolennaiset, ellei muissa tuotoissa/kuluissa)",4567280,KKNR
189,7230-7299 Arvonalentumiset,4871460,KKNR
190,7230 Pysyvien vastaavien hyödykkeiden arvonalentumiset,4569550,KKNR
191,7240 Muut arvonalentumiset,4571820,KKNR
192,8000-8199 Satunnaiset erät + (-),4826060,KKNR
193,8000-8099 Satunnaiset tuotot,4823790,KKNR
194,"8000 Satunnaiset tuotot, pysyvien vastaavien hyödykkeiden luovutusvoitot",4574090,KKNR
195,"8010 Satunnaiset tuotot, omistusosuuksien luovutukset",4576360,KKNR
196,"8020 Satunnaiset tuotot, vahingonkorvaukset ja sopimussakot",4578630,KKNR
197,8050 Muut satunnaiset tuotot,4580900,KKNR
198,8100-8199 Satunnaiset kulut,4821520,KKNR
199,"8100 Satunnaiset kulut, pysyvien vastaavien hyödykkeiden luovutustappiot",4583170,KKNR
200,"8110 Satunnaiset kulut, omistusosuuksien luovutukset",4585440,KKNR
201,"8120 Satunnaiset kulut, vahingonkorvaukset ja sopimussakot",4587710,KKNR
202,8130 Annetut akordit ja konserniavustukset,4589980,KKNR
203,8150 Muut satunnaiset kulut,4592250,KKNR
204,8500-8599 Poistoeron lisäys (vähennys),4832870,KKNR
205,8500 Poistoeron lisäys,4594520,KKNR
206,8550 Poistoeron vähennys,4596790,KKNR
207,8600-8699 Varausten lisäys (vähennys),4599060,KKNR
208,8600 Varausten lisäys,4601330,KKNR
209,8650 Varausten vähennys,4603600,KKNR
210,8700-8759 Rahastojen lisäys (vähennys),4605870,KKNR
211,8700 Rahastojen lisäys,4608140,KKNR
212,8750 Rahastojen vähennys,4610410,KKNR
213,8800-8800 Tilikauden ylijäämä (alijäämä),4876000,KKNR
214,"8800 Tilikauden ylijäämä (alijäämä), tili",4814710,KKNR
215,Luontoisetujen raha-arvot,4397030,KKNR
216,Palautusjärjestelmän arvonlisävero käyttötaloudesta,4378871,KKNR
217,Toimintatuotot,3319284,KKNR
218,3000-3199 Myyntituotot,3333396,KKNR
219,"3005 Myyntituotot, tili",3051156,KKNR
220,3200-3299 Maksutuotot,3361620,KKNR
221,"3295 Maksutuotot, tili",3065268,KKNR
222,3300-3399 Tuet ja avustukset,3375732,KKNR
223,3300 Tuet ja avustukset (muilta),2232660,KKNR
224,3350 Tuet ja avustukset muilta kunnilta,2938260,KKNR
225,3390 Palkkatuki,1893972,KKNR
226,3400-3559 Muut toimintatuotot,3389844,KKNR
227,3400-3499 Vuokratuotot,3403956,KKNR
228,"3499 Vuokratuotot, muut",2204436,KKNR
229,3440 Maa- ja vesialueiden vuokratuotot,2218548,KKNR
230,3500-3559 Muut tuotot,793236,KKNR
231,3510 Pysyvien vastaavien hyödykkeiden luovutusvoitot,779124,KKNR
232,3521 Vakuutusyhtiöiden vahinkovakuutuskorvaukset,1922196,KKNR
233,"3530 Muut tuotot, erittelemättömät",807348,KKNR
234,3536 Sakot ja uhkasakot,1216596,KKNR
235,3700-3799 Valmistus omaan käyttöön,2881812,KKNR
236,"3710 Valmistus omaan käyttöön, tili",3079380,KKNR
237,Toimintakulut,3418068,KKNR
238,4000-4299 Henkilöstökulut,3276948,KKNR
239,4000-4099 Palkat ja palkkiot,3347508,KKNR
240,4000 Maksetut palkat ja palkkiot,2246772,KKNR
241,4060 Jaksotetut palkat ja palkkiot,2260884,KKNR
242,4065 Aktivoidut palkat ja palkkiot,2274996,KKNR
243,4090 Henkilöstökorvaukset,2289108,KKNR
244,4100-4229 Henkilösivukulut,3488628,KKNR
245,4100-4149 Eläkekulut,3587412,KKNR
246,4110 Eläkevakuutusmaksut,2303220,KKNR
247,4120 Maksetut eläkkeet,2317332,KKNR
248,4130 Jaksotetut eläkekulut,2331444,KKNR
249,4135 Aktivoidut eläkemenot,2345556,KKNR
250,4150-4229 Muut henkilösivukulut,4321236,KKNR
251,"4210 Muut henkilösivukulut, erittelemättömät",2373780,KKNR
252,4190 Jaksotetut  sosiaalivakuutusmaksut,2387892,KKNR
253,4200 Aktivoidut sosiaalivakuutusmaksut,2402004,KKNR
254,4300-4499 Palvelujen ostot,383988,KKNR
255,4300-4339 Asiakaspalvelujen ostot,2416116,KKNR
256,"4300 Asiakaspalvelujen ostot, erittelemättömät",2430228,KKNR
257,4315 Palveluseteli,2444340,KKNR
258,4340-4499 Muiden palvelujen ostot,2458452,KKNR
259,4340 Asiantuntijapalvelut,2740692,KKNR
260,4341 Toimistopalvelut,2754804,KKNR
261,4342 ICT-palvelut,2472564,KKNR
262,4344 Rahoitus- ja pankkipalvelut,2486676,KKNR
