,code,name,city_or_mun,language,mun_center,province,subregion,population,area_total_km2,area_land_km2,population_density_km-2
44,142,Iitti,kunta,suomi,Kausala,Päijät-Häme,Lahden seutukunta,6516,68709.0,58979.0,11.0
45,143,Ikaalinen,kaupunki,suomi,Ikaalisten keskustaajama,Pirkanmaa,Luoteis-Pirkanmaan seutukunta,6832,84340.0,75048.0,91.0
46,145,Ilmajoki,kunta,suomi,Ilmajoen kirkonkylä,Etelä-Pohjanmaa,Seinäjoen seutukunta,12321,57963.0,57674.0,214.0
47,146,Ilomantsi,kunta,suomi,Ilomantsin kirkonkylä,Pohjois-Karjala,Joensuun seutukunta,4585,3172.68,2763.38,17.0
48,153,Imatra,kaupunki,suomi,Mansikkala,Etelä-Karjala,Imatran seutukunta,25430,19128.0,15499.0,1641.0
49,148,Inari,kunta,"suomi, pohjoissaame, inarinsaame, koltansaame",Ivalo,Lappi,Pohjois-Lapin seutukunta,7009,17333.62,15058.35,5.0
50,149,Inkoo,kunta,"ruotsi, suomi",Inkoon kirkonkylä,Uusimaa,Raaseporin seutukunta,5343,35800.0,34989.0,153.0
51,151,Isojoki,kunta,suomi,Isojoen kirkonkylä,Etelä-Pohjanmaa,Suupohjan seutukunta,1898,64743.0,64238.0,3.0
52,152,Isokyrö,kunta,suomi,Isonkyrön kirkonkylä,Etelä-Pohjanmaa,Seinäjoen seutukunta,4438,35691.0,35413.0,125.0
53,165,Janakkala,kunta,suomi,Turenki,Kanta-Häme,Hämeenlinnan seutukunta,16365,58607.0,54741.0,299.0
54,167,Joensuu,kaupunki,suomi,Joensuun keskustaajama,Pohjois-Karjala,Joensuun seutukunta,76790,2750.96,2381.73,322.0
55,169,Jokioinen,kunta,suomi,Jokioisten keskustaajama,Kanta-Häme,Forssan seutukunta,5058,18194.0,18042.0,28.0
56,170,Jomala,kunta,ruotsi,Prästgården,Ahvenanmaa,Ålands landsbygd,5572,14366.0,14265.0,391.0
57,171,Joroinen,kunta,suomi,Joroisten kirkonkylä,Pohjois-Savo,Varkauden seutukunta,4606,71175.0,57490.0,8.0
58,172,Joutsa,kunta,suomi,Joutsan kirkonkylä,Keski-Suomi,Joutsan seutukunta,4266,1066.43,86701.0,49.0
59,176,Juuka,kunta,suomi,Juuan kirkonkylä,Pohjois-Karjala,Joensuun seutukunta,4398,1846.58,1501.7,29.0
60,177,Juupajoki,kunta,suomi,Korkeakoski,Pirkanmaa,Ylä-Pirkanmaan seutukunta,1787,27495.0,25849.0,69.0
61,178,Juva,kunta,suomi,Juvan kirkonkylä,Etelä-Savo,Pieksämäen seutukunta,5851,1345.69,1163.19,5.0
62,179,Jyväskylä,kaupunki,suomi,Jyväskylän keskustaajama,Keski-Suomi,Jyväskylän seutukunta,144299,1466.35,1171.02,1232.0
63,181,Jämijärvi,kunta,suomi,Jämijärven kirkonkylä,Satakunta,Pohjois-Satakunnan seutukunta,1679,22461.0,21509.0,78.0
64,182,Jämsä,kaupunki,suomi,Seppola,Keski-Suomi,Jämsän seutukunta,19631,1823.9,1571.39,125.0
65,186,Järvenpää,kaupunki,suomi,Järvenpään keskustaajama,Uusimaa,Helsingin seutukunta,45675,3993.0,3754.0,1216.7
66,202,Kaarina,kaupunki,suomi,Kaarinan keskusta,Varsinais-Suomi,Turun seutukunta,35691,15162.0,15057.0,237.0
67,204,Kaavi,kunta,suomi,Kaavin kirkonkylä,Pohjois-Savo,Koillis-Savon seutukunta,2762,78960.0,67407.0,41.0
68,205,Kajaani,kaupunki,suomi,Kajaanin keskustaajama,Kainuu,Kajaanin seutukunta,36322,2263.82,1834.73,198.0
69,208,Kalajoki,kaupunki,suomi,Kalajoen kirkonkylä,Pohjois-Pohjanmaa,Ylivieskan seutukunta,12334,93105.0,92413.0,133.0
70,211,Kangasala,kaupunki,suomi,Kangasalan kirkonkylä,Pirkanmaa,Tampereen seutukunta,32833,87088.0,65808.0,499.0
71,213,Kangasniemi,kunta,suomi,Kangasniemen kirkonkylä,Etelä-Savo,Mikkelin seutukunta,5217,1326.75,1068.89,49.0
